PROBEID	GENENAME	fold_change	p_value
202847_at	phosphoenolpyruvate carboxykinase 2, mitochondrial	-2.12572847512741	2.11820333243894e-12
222930_s_at	agmatinase	-2.16235842053163	2.14235738772375e-12
212671_s_at	major histocompatibility complex, class II, DQ alpha 1	2.05956254282888	2.28760754052115e-12
212671_s_at	major histocompatibility complex, class II, DQ alpha 2	2.05956254282888	2.28760754052115e-12
238862_at	major facilitator superfamily domain containing 4A	-2.02458452656161	2.30869221087472e-12
209309_at	alpha-2-glycoprotein 1, zinc-binding	-3.17273529513467	2.51015612838972e-12
241436_at	sodium channel epithelial 1 subunit gamma	-3.54141837064375	2.80808857265352e-12
202207_at	ADP ribosylation factor like GTPase 4C	2.14100639367129	2.99505179426955e-12
204591_at	cell adhesion molecule L1 like	-2.49397944275551	3.03352862431597e-12
213706_at	glycerol-3-phosphate dehydrogenase 1	-2.00044084199718	3.03427548422544e-12
211796_s_at	interleukin 23 subunit alpha	2.19212111637554	3.77278445820715e-12
211796_s_at	T cell receptor beta constant 1	2.19212111637554	3.77278445820715e-12
202345_s_at	fatty acid binding protein 5	2.06787953972436	3.87057628079708e-12
219619_at	DIRAS family GTPase 2	2.62952907468232	4.33522795915392e-12
209598_at	PNMA family member 2	2.23430773359634	4.83152420138411e-12
233155_at	uridine phosphorylase 2	-2.56508462762333	4.88924315382228e-12
224179_s_at	myo-inositol oxygenase	-2.99763222830934	5.81633911235908e-12
240058_at	NA	2.81176236516753	6.36673951396717e-12
221648_s_at	agmatinase	-2.52816548786042	7.05939869923239e-12
214043_at	protein tyrosine phosphatase receptor type D	-2.19516883723108	7.83899826410238e-12
218952_at	proprotein convertase subtilisin/kexin type 1 inhibitor	-2.18710035812193	7.9526310371632e-12
224941_at	pappalysin 1	-2.44226399644789	8.60980538618496e-12
215563_s_at	macrophage stimulating 1 like	-2.41838435023762	8.9683167325731e-12
231051_at	myoregulin	-2.28798158640988	9.13221730286582e-12
201563_at	sorbitol dehydrogenase	-2.07740828787441	9.88934118419986e-12
231513_at	NA	2.00326881046594	1.03573838261017e-11
231021_at	solute carrier family 6 member 19	-2.22977931804061	1.05144008675027e-11
203453_at	sodium channel epithelial 1 subunit alpha	-2.72287600946263	1.0631427045113e-11
214910_s_at	apolipoprotein M	-2.22967000280223	1.25001980842378e-11
232422_at	gamma-glutamylamine cyclotransferase	-2.38207287826488	1.27050264735765e-11
1552797_s_at	prominin 2	-2.76474553623997	1.27542357109253e-11
1405_i_at	C-C motif chemokine ligand 5	2.21425002602896	1.31644303917427e-11
211548_s_at	15-hydroxyprostaglandin dehydrogenase	-2.38535059928465	1.46363747401877e-11
204533_at	C-X-C motif chemokine ligand 10	2.37629592547041	1.47054447383263e-11
207544_s_at	alcohol dehydrogenase 6 (class V)	-2.11351373047812	1.51256646268894e-11
228128_x_at	pappalysin 1	-2.50824324002304	1.61580790373189e-11
1564964_at	NA	-2.24841345020449	1.70912160702207e-11
244384_at	NA	-2.41064266481678	2.05590875435298e-11
203914_x_at	15-hydroxyprostaglandin dehydrogenase	-2.39753613962226	2.7956544568282e-11
227241_at	mucin 15, cell surface associated	-2.05187422196748	3.05792709219314e-11
221605_s_at	pipecolic acid and sarcosine oxidase	-2.68562662159818	3.12840761338161e-11
227506_at	solute carrier family 16 member 9	-2.52153516103775	3.31464172890456e-11
220503_at	solute carrier family 13 member 1	-2.89029785143797	3.49602222616252e-11
220625_s_at	E74 like ETS transcription factor 5	-2.14229820063356	3.6557093592728e-11
231496_at	Fc fragment of IgA and IgM receptor	-2.68464798497677	3.87936263871538e-11
228143_at	ceruloplasmin	2.83962422241981	3.96688398579945e-11
211571_s_at	versican	2.50360664927722	4.11046182892362e-11
205311_at	dopa decarboxylase	-2.49784244384049	4.87644137222935e-11
205675_at	microsomal triglyceride transfer protein	-2.40872187933581	4.98354275844789e-11
231070_at	iodotyrosine deiodinase	-2.06685741677992	5.05448441215314e-11
203913_s_at	15-hydroxyprostaglandin dehydrogenase	-2.32574430954286	6.07880824016849e-11
1565228_s_at	albumin	-3.76176070608128	6.15577620358215e-11
208383_s_at	phosphoenolpyruvate carboxykinase 1	-3.23314511490362	6.21736611265018e-11
215646_s_at	versican	2.75584417653916	7.4331663113196e-11
206134_at	ADAM like decysin 1	2.36320132896004	7.45659433653653e-11
228776_at	gap junction protein gamma 1	2.21039567553311	7.47963984778906e-11
210397_at	defensin beta 1	-2.26599086041476	8.51468398790305e-11
201839_s_at	epithelial cell adhesion molecule	-2.03266763369442	8.57935246725775e-11
222938_x_at	ectonucleotide pyrophosphatase/phosphodiesterase 3	2.16199980738761	9.55991022059044e-11
225645_at	ETS homologous factor	-3.17652658573315	9.72572071366412e-11
205682_x_at	apolipoprotein M	-2.17052099666942	9.88158325487889e-11
206514_s_at	cytochrome P450 family 4 subfamily F member 3	-2.56237869920974	1.18930333994813e-10
206514_s_at	cytochrome P450 family 4 subfamily F member 2	-2.56237869920974	1.18930333994813e-10
205952_at	potassium two pore domain channel subfamily K member 3	2.30380457664147	1.20638750057041e-10
238177_at	solute carrier family 6 member 19	-2.40231754217277	1.20800212643058e-10
213975_s_at	lysozyme	2.02126869411335	1.25598328156243e-10
231358_at	maestro	-2.25479902011434	1.39363168469389e-10
202499_s_at	solute carrier family 2 member 3	2.06710116684556	1.40081126889992e-10
226237_at	collagen type VIII alpha 1 chain	2.12400097359516	1.47683740520885e-10
210445_at	fatty acid binding protein 6	2.10612129020791	1.69174439582675e-10
224940_s_at	pappalysin 1	-2.25551972644231	1.69312092450496e-10
229831_at	contactin 3	-2.68650960352462	1.80327808241595e-10
204620_s_at	versican	2.44367759021298	1.88254382885716e-10
205476_at	C-C motif chemokine ligand 20	2.35779427301809	1.94793297276751e-10
206666_at	granzyme K	2.08827957277848	2.07567869385463e-10
1554195_a_at	chromosome 5 open reading frame 46	2.3653310466863	2.75542719921923e-10
202920_at	ankyrin 2	-2.12937697804267	2.84911352491638e-10
210452_x_at	cytochrome P450 family 4 subfamily F member 2	-2.80033522477266	3.3016803221661e-10
218976_at	DnaJ heat shock protein family (Hsp40) member C12	-2.33871775761207	3.625362621973e-10
205544_s_at	complement C3d receptor 2	-2.00435867311982	3.80662806233351e-10
203434_s_at	membrane metalloendopeptidase	-2.02737462387362	3.93040401602286e-10
220135_s_at	solute carrier family 7 member 9	-2.06080020548806	4.31814786058116e-10
220502_s_at	solute carrier family 13 member 1	-2.84755445844485	5.4791414631096e-10
203915_at	C-X-C motif chemokine ligand 9	2.27923664606761	5.8871433536346e-10
211122_s_at	C-X-C motif chemokine ligand 11	2.26611408461077	5.89320453020771e-10
221731_x_at	versican	2.50278102692915	5.91575203208287e-10
215059_at	NA	-2.38874186308811	6.16640511761365e-10
203131_at	platelet derived growth factor receptor alpha	-2.29032229136334	6.30397375628157e-10
220376_at	leucine rich repeat containing 19	-2.24878883848353	7.99193118597725e-10
227174_at	WD repeat domain 72	-2.13486364115282	1.5207788788651e-09
205890_s_at	ubiquitin D	2.0391549254905	1.52138501929443e-09
205890_s_at	gamma-aminobutyric acid type B receptor subunit 1	2.0391549254905	1.52138501929443e-09
217319_x_at	cytochrome P450 family 4 subfamily A member 11	-2.40640187730987	1.53199963671688e-09
217319_x_at	cytochrome P450 family 4 subfamily A member 22	-2.40640187730987	1.53199963671688e-09
206872_at	solute carrier family 17 member 1	-2.03933705435147	1.59432184045538e-09
204619_s_at	versican	2.42429073117652	1.80618288239927e-09
214282_at	ceruloplasmin	2.21760468707816	2.14411005751166e-09
204719_at	ATP binding cassette subfamily A member 8	-2.28398572421063	2.310497844555e-09
206836_at	solute carrier family 6 member 3	2.66250814612599	2.42235134603644e-09
205676_at	cytochrome P450 family 27 subfamily B member 1	-2.74469265743336	2.47921871363438e-09
214347_s_at	dopa decarboxylase	-2.005155728712	3.13285589330735e-09
238625_at	FYN binding protein 2	-2.16469736242126	3.51755515575759e-09
205216_s_at	apolipoprotein H	-2.44798533759343	5.53819269617355e-09
205769_at	solute carrier family 27 member 2	-2.26588952809537	6.99240982713688e-09
207407_x_at	cytochrome P450 family 4 subfamily A member 11	-2.88813537983872	8.83079363981125e-09
1556300_s_at	SIM bHLH transcription factor 1	-2.17737051498874	8.93177198103298e-09
206515_at	cytochrome P450 family 4 subfamily F member 3	-2.95419348038602	9.0441145938777e-09
205768_s_at	solute carrier family 27 member 2	-2.31273643503908	9.27779180965496e-09
224156_x_at	interleukin 17 receptor B	-2.18373633784559	9.77564148137427e-09
205073_at	cytochrome P450 family 2 subfamily J member 2	2.50158020903013	9.9572031855827e-09
209335_at	decorin	-2.28399530234682	1.03964833637718e-08
203824_at	tetraspanin 8	-2.79584271412511	1.18806193426376e-08
205082_s_at	aldehyde oxidase 1	-2.0269709680795	1.29306037659541e-08
209652_s_at	placental growth factor	2.45509511325981	1.57003207471316e-08
219255_x_at	interleukin 17 receptor B	-2.14682139341689	1.60840011166377e-08
211276_at	transcription elongation factor A like 2	-2.0179863880908	1.72019860959368e-08
202286_s_at	tumor associated calcium signal transducer 2	-2.59791634026306	2.32454167214934e-08
229975_at	bone morphogenetic protein receptor type 1B	-2.00532080491931	2.40049653176312e-08
232737_s_at	ectonucleotide pyrophosphatase/phosphodiesterase 3	2.27672831618049	2.6077737659233e-08
224361_s_at	interleukin 17 receptor B	-2.02847997834364	2.63423696505568e-08
226281_at	delta/notch like EGF repeat containing	-2.29350658522325	2.66522933911705e-08
206488_s_at	CD36 molecule	2.23875922205667	2.99429923521827e-08
232494_at	cytochrome P450 family 8 subfamily B member 1	-2.1326182618617	3.10501160081518e-08
227794_at	glycine-N-acyltransferase like 1	-2.11295920282879	3.95659813324621e-08
231424_at	solute carrier family 5 member 12	-2.13641058977959	4.27598356052318e-08
235229_at	NA	2.17525858217648	4.59168508982913e-08
231483_at	uncharacterized LOC100505985	-2.56744808996431	7.76965537572575e-08
204268_at	S100 calcium binding protein A2	-2.42818219211501	7.98326304345695e-08
209613_s_at	alcohol dehydrogenase 1B (class I), beta polypeptide	-2.60562752878791	8.49216733952964e-08
211896_s_at	decorin	-2.19617182598147	1.29388297366444e-07
205083_at	aldehyde oxidase 1	-2.18903066647532	1.36503035402264e-07
201893_x_at	decorin	-2.17531630615781	1.52796619349579e-07
209612_s_at	alcohol dehydrogenase 1B (class I), beta polypeptide	-2.34554365303561	1.68993938728921e-07
202404_s_at	collagen type I alpha 2 chain	2.1233711756926	1.88898272649242e-07
231426_at	NA	-2.00455542150319	2.41019291396963e-07
205030_at	fatty acid binding protein 7	3.53576543508238	3.43588170267159e-07
214389_at	solute carrier family 5 member 12	-2.24936339397595	3.9850348012212e-07
219803_at	angiopoietin like 3	-2.50863613833272	6.1827006486248e-07
1555725_a_at	regulator of G protein signaling 5	2.01297219874069	1.08978901088293e-06
240272_at	NA	2.18251387812348	2.10388306018064e-06
236161_at	long intergenic non-protein coding RNA 2888	2.81556554064643	3.02565654621852e-06
230319_at	NA	-2.43044289026411	3.79161147579612e-06
223062_s_at	phosphoserine aminotransferase 1	-2.91215743066577	4.35187761303321e-06
229659_s_at	polymeric immunoglobulin receptor	-2.27022810831618	5.55889178087493e-06
226147_s_at	polymeric immunoglobulin receptor	-2.69168038332135	6.60303142713998e-06
1561951_at	solute carrier family 5 member 12	-2.29357699037134	9.29853164564885e-06
1555745_a_at	lysozyme	2.29042802273899	9.67735965597919e-06
221305_s_at	UDP glucuronosyltransferase family 1 member A8	-2.18493153431853	1.00759783519983e-05
221305_s_at	UDP glucuronosyltransferase family 1 member A5	-2.18493153431853	1.00759783519983e-05
221305_s_at	UDP glucuronosyltransferase family 1 member A9	-2.18493153431853	1.00759783519983e-05
221305_s_at	UDP glucuronosyltransferase family 1 member A1	-2.18493153431853	1.00759783519983e-05
221305_s_at	UDP glucuronosyltransferase family 1 member A3	-2.18493153431853	1.00759783519983e-05
244567_at	NA	2.03187600088998	1.013142375461e-05
219140_s_at	retinol binding protein 4	-2.52141750808049	1.20323969581276e-05
205029_s_at	fatty acid binding protein 7	2.94259436002706	1.6564219679505e-05
211756_at	parathyroid hormone like hormone	2.33830022458982	0.00010115449369209
